M,K,N,Transpose A,Transpose B
1021,2048,4096,0,0
1021,2560,4096,0,0
1021,3584,4096,0,0
1021,4096,10240,0,1
1021,8192,4096,0,1
2042,2048,4096,0,0
2042,2560,4096,0,0
2042,3584,4096,0,0
2042,4096,10240,0,1
2042,8192,4096,0,1
4084,2048,4096,0,0
4084,2560,4096,0,0
4084,3584,4096,0,0
4084,4096,10240,0,1
4084,8192,4096,0,1
128,1280,10240,0,1
128,1408,11264,0,1
128,3584,1024,0,1
128,5120,640,0,1
128,8192,4096,0,1
128,8192,8192,0,1
128,10240,3840,0,1
128,11264,1664,0,1
128,13664,5120,0,1
128,32768,1024,0,1
160,4096,8192,0,1
256,640,640,0,1
256,1024,8192,0,1
256,1280,10240,0,1
256,1792,14336,0,1
256,2048,8192,0,1
256,2752,8192,0,1
256,8192,8192,0,1
256,10240,1280,0,1
256,10240,3840,0,1
256,14336,5376,0,1
320,2816,41216,0,1
320,28672,256,0,1
428,8192,3424,0,1
448,768,1280,0,1
448,1024,1024,0,1
448,4096,1024,0,1
448,4096,8192,0,1
448,45056,4608,0,1
512,1024,8192,0,1
512,1792,14336,0,1
512,3072,4096,0,1
512,3584,1024,0,1
512,4096,1024,0,1
512,5120,640,0,1
512,8192,7168,0,1
512,11008,4096,0,1
512,14336,1792,0,1
512,15360,5120,0,1
512,16384,13696,0,1
512,17152,13056,0,1
640,2048,10240,0,1
640,3840,18432,0,1
640,8192,1280,0,1
640,8192,5120,0,1
640,16384,1696,0,1
640,32256,7936,0,1
672,2048,14336,0,1
683,6144,8192,0,1
768,3840,18432,0,1
768,6144,8192,0,1
768,16384,1696,0,1
832,2048,17920,0,1
864,4096,12288,0,1
864,12288,4096,0,1
1024,1280,8192,0,1
1024,1536,6144,0,1
1024,3840,5120,0,1
1024,6656,4480,0,1
1024,6656,4992,0,1
1024,7808,12288,0,1
1024,11008,4096,0,1
1024,12288,1536,0,1
1024,12288,3904,0,1
1024,12288,4608,0,1
1024,16384,1024,0,1
1216,23296,9472,0,1
1280,128,16,0,1
1280,2048,1280,0,1
1280,2048,5120,0,1
1344,17152,7168,0,1
1354,6144,1408,0,1
1536,6912,4096,0,1
1536,8192,1536,0,1
1664,9984,10752,0,1
1664,15616,8192,0,1
1792,9984,10752,0,1
1920,2816,13056,0,1
1984,12544,6656,0,1
2036,5120,1696,0,1
2048,1,16,0,1
2048,1024,8192,0,1
2048,1376,4096,0,1
2048,1708,5120,0,1
2048,4096,27392,0,1
2048,5120,5120,0,1
2048,5504,8192,0,1
2048,6656,6656,0,1
2048,6912,4096,0,1
2048,8192,1024,0,1
2048,12544,6656,0,1
2048,27392,4096,0,1
2240,2048,6656,0,1
2816,677,256,0,1
2955,4096,4096,0,1
2955,4096,12288,0,1
2955,4096,16384,0,1
2955,12288,4096,0,1
2955,16384,4096,0,1
3072,17920,6656,0,1
3584,128,16,0,1
3840,512,6144,0,1
4096,128,128,0,1
4096,1024,1024,0,1
4096,2560,5120,0,1
4096,3424,8192,0,1
4096,4096,16,0,1
4096,4096,8192,0,1
4096,5120,640,0,1
4096,5120,2560,0,1
4096,5504,8192,0,1
4096,8192,1024,0,1
4096,8192,1280,0,1
4096,8192,2752,0,1
4096,8192,3072,0,1
4096,8192,4096,0,1
16384,128,128,0,1
16384,128,1024,0,1
16384,1024,128,0,1
16384,8192,3072,0,1
24000,50,3840,0,1
24640,77,2560,0,1
65536,128,128,0,1
4608,55040,4096,0,1
