Op	M	K	N	Transpose A	Transpose B	TotalTime(us)	MatmulTime(us)	AllGatherTime(us)	ÑÚ¸Ç¶È
AllGatherMatmulDequantFixPipe	1794	3072	1536	0	0	423.7724167	251.62725	382.415875	0.835643629
AllGatherMatmulDequantFixPipe	1021	2048	4096	0	0	293.6780833	259.8255	221.5004167	0.847166954
AllGatherMatmulDequantFixPipe	1021	2560	4096	0	0	338.6275833	319.9918333	225.0569167	0.917195391
AllGatherMatmulDequantFixPipe	1021	3584	4096	0	0	456.8228333	440.1624583	359.3487083	0.953637304
AllGatherMatmulDequantFixPipe	1021	4096	10240	0	1	1226.533583	1216.857042	541.954625	0.982145107
AllGatherMatmulDequantFixPipe	1021	8192	4096	0	1	1007.689833	981.2660833	740.121125	0.964298074
AllGatherMatmulDequantFixPipe	2042	2048	4096	0	0	529.036625	502.2420833	433.676625	0.938215389
AllGatherMatmulDequantFixPipe	2042	2560	4096	0	0	637.0046667	601.5004167	309.3862083	0.885242945
AllGatherMatmulDequantFixPipe	2042	3584	4096	0	0	872.1089167	826.3564167	410.8554167	0.888640874
AllGatherMatmulDequantFixPipe	2042	4096	10240	0	1	2435.033125	2389.792458	902.7975417	0.949888359
AllGatherMatmulDequantFixPipe	2042	8192	4096	0	1	1998.464125	1928.433875	1568.365833	0.955348269
AllGatherMatmulDequantFixPipe	4084	2048	4096	0	0	1012.842375	963.958125	696.8978333	0.929854496
AllGatherMatmulDequantFixPipe	4084	2560	4096	0	0	1234.61425	1208.987958	736.212125	0.965191701
AllGatherMatmulDequantFixPipe	4084	3584	4096	0	0	1708.534375	1682.788833	1012.421458	0.974570332
AllGatherMatmulDequantFixPipe	4084	4096	10240	0	1	4836.652125	4775.849833	1338.5025	0.954574391
AllGatherMatmulDequantFixPipe	4084	8192	4096	0	1	3885.912	3827.395625	2532.849958	0.976897023
AllGatherMatmulDequantFixPipe	128	1280	10240	0	1	77.54854167	65.56891667	28.898625	0.585460381
AllGatherMatmulDequantFixPipe	128	1408	11264	0	1	84.81775	72.979625	30.017	0.605619316
AllGatherMatmulDequantFixPipe	128	3584	1024	0	1	62.838	41.68691667	47.42579167	0.630286681
AllGatherMatmulDequantFixPipe	128	5120	640	0	1	79.32945833	40.69275	69.5305	0.759196458
AllGatherMatmulDequantFixPipe	128	8192	4096	0	1	205.14225	135.32675	104.5548333	0.332259468
AllGatherMatmulDequantFixPipe	128	8192	8192	0	1	308.5754167	257.3204167	101.3240417	0.494147695
AllGatherMatmulDequantFixPipe	128	10240	3840	0	1	256.268875	152.062375	141.1125417	0.261536227
AllGatherMatmulDequantFixPipe	128	11264	1664	0	1	191.515125	89.36829167	128.1835417	0.291341681
AllGatherMatmulDequantFixPipe	128	13664	5120	0	1	339.3690833	275.7742917	120.267	0.471219938
AllGatherMatmulDequantFixPipe	128	32768	1024	0	1	506.966125	267.8860417	299.4423333	0.22532809
AllGatherMatmulDequantFixPipe	160	4096	8192	0	1	258.7587917	244.447375	98.01079167	0.853981216
AllGatherMatmulDequantFixPipe	256	640	640	0	1	42.04083333	15.728875	38.078375	0.748077448
AllGatherMatmulDequantFixPipe	256	1024	8192	0	1	92.20425	76.37708333	53.99654167	0.706885549
AllGatherMatmulDequantFixPipe	256	1280	10240	0	1	129.3578333	121.5854583	47.54179167	0.836514891
AllGatherMatmulDequantFixPipe	256	1792	14336	0	1	227.8602083	218.30625	79.316875	0.879546965
AllGatherMatmulDequantFixPipe	256	2048	8192	0	1	157.3006667	134.4810417	83.96608333	0.728228064
AllGatherMatmulDequantFixPipe	256	2752	8192	0	1	209.6155	198.2723333	82.826125	0.863048444
AllGatherMatmulDequantFixPipe	256	8192	8192	0	1	527.6457917	484.2357083	197.66825	0.780389196
AllGatherMatmulDequantFixPipe	256	10240	1280	0	1	280.81925	128.429375	246.7633333	0.73482767
AllGatherMatmulDequantFixPipe	256	10240	3840	0	1	385.7823333	295.0956667	249.458125	0.636465372
AllGatherMatmulDequantFixPipe	256	14336	5376	0	1	728.896375	541.6580833	376.1167083	0.502180341
AllGatherMatmulDequantFixPipe	320	2816	41216	0	1	1473.85425	1194.330875	343.625	0.186545289
AllGatherMatmulDequantFixPipe	320	28672	256	0	1	704.73775	139.1860417	641.3620833	0.54466938
AllGatherMatmulDequantFixPipe	428	8192	3424	0	1	538.3698333	456.8802917	397.7988333	0.795148867
AllGatherMatmulDequantFixPipe	448	768	1280	0	1	62.478875	25.58870833	52.68245833	0.61715861
AllGatherMatmulDequantFixPipe	448	1024	1024	0	1	66.253125	28.45025	51.264	0.473146106
