m,k,n,TotalTime(us),MatmulTime(us),AllGatherTime(us),ÑÚ¸Ç¶È
1794,3072,1536,428.19,314.006,367.837,0.807796666
1021,2048,4096,334.31,314.916,177.933,0.891003917
1021,2560,4096,401.56,375.997,206.814,0.876396182
1021,3584,4096,533.05,509.16,265.755,0.910105172
1021,4096,10240,1449.06,1421.228,357.337,0.92211274
1021,8192,4096,1139.372,1109.772,530.18,0.944169905
2042,2048,4096,609.062,587.661,294.665,0.927371761
2042,2560,4096,747.324,719.994,353.637,0.922717363
2042,3584,4096,1011.55,986.639,471.309,0.947145079
2042,4096,10240,2881.097,2857.8365,507.52,0.954168309
2042,8192,4096,2240.684,2235.274,1021.7,0.994704904
4084,2048,4096,1188.113,1178.523,541.39,0.982286337
4084,2560,4096,1464.789,1458.2385,669.313,0.990213099
4084,3584,4096,2009.51,1997.079,905.578,0.986272856
4084,4096,10240,5755.3345,5690.883,1000.7595,0.935597414
4084,8192,4096,4491.48,4476.279,1980.549,0.992324855
128,1280,10240,116.6,96.551,56.881,0.647527294
128,1408,11264,126.35,105.982,55.671,0.634136265
128,3584,1024,92.36,49.14,69.051,0.525661376
128,5120,640,110.83,57.061,82.121,0.496871769
128,8192,4096,230.394,172.963,101.892,0.436354179
128,8192,8192,349.5065,300.736,101.462,0.519322505
128,10240,3840,289.165,184.453,129.542,0.191675287
128,11264,1664,220.474,113.322,130.162,0.203049717
128,13664,5120,392.797,310.876,141.672,0.421755887
128,32768,1024,459.529,215.744,275.555,0.147257861
160,4096,8192,305.376,291.905,80.911,0.833508423
256,640,640,70.071,33.62,60.231,0.707317073
256,1024,8192,127.822,108.112,63.541,0.689806582
256,1280,10240,176.473,161.163,72.391,0.788509621
256,1792,14336,286.62,271.165,85.431,0.819093772
256,2048,8192,191.22,172.923,79.391,0.76953307
256,2752,8192,254.68,239.784,93.661,0.84095835
256,8192,8192,590.29,572.791,164.543,0.8936509
256,10240,1280,253.72,129.132,200.7635,0.589904129
256,10240,3840,420.17,341.086,206.234,0.616532676
256,14336,5376,779.37,630.352,276.725,0.461494263
320,2816,41216,1826.06,1618.822,277.565,0.253371282
320,28672,256,626.27,154.953,562.861,0.590785593
428,8192,3424,552.43,504.95,269.745,0.823981909
448,768,1280,89.6,49.721,75.711,0.72066129
448,1024,1024,85.33,51.271,76.021,0.818435373
448,4096,1024,181.71,100.112,162.483,0.807945101
448,4096,8192,575.5,551.461,180.673,0.866947469
448,45056,4608,5201.69,5185.203,1966.929,0.991617898
512,1024,8192,202.73,183.213,79.951,0.755887981
512,1792,14336,526.31,509.73,128.482,0.870954686
512,3072,4096,261.52,239.804,148.7325,0.853992907
512,3584,1024,183.83,94.441,150.933,0.65166612
512,4096,1024,201.96,104.792,165.113,0.648379647
512,5120,640,225.34,93.541,195.553,0.681562096
512,8192,7168,987.6,971.549,291.625,0.944960137
512,11008,4096,787.56,767.755,379.387,0.947797368
512,14336,1792,590.82,450.339,473.229,0.738883375
512,15360,5120,1316.82,1297.465,504.03,0.961599508
512,16384,13696,4996.089,4474.469,901.928,0.421661153
512,17152,13056,5067.091,4633.472,1449.438,0.700836462
640,2048,10240,482.169,464.249,128.012,0.860013124
640,3840,18432,1618.522,1584.151,194.743,0.823505851
640,8192,1280,402.738,240.124,358.287,0.814883144
640,8192,5120,888.127,871.697,361.737,0.954580261
640,16384,1696,924.888,735.194,658.053,0.711734465
640,32256,7936,8379.967,7833.376,1623.532,0.663332167
672,2048,14336,757.425,740.344,126.572,0.865049142
683,6144,8192,1210.724,1194.733,290.705,0.944992346
768,3840,18432,1955.05,1933.908,218.424,0.903206607
768,6144,8192,1246.62,1232.274,337.436,0.957485271
768,16384,1696,1039.7,847.286,778.095,0.75271143
832,2048,17920,1114.18,1098.3515,147.172,0.892448971
864,4096,12288,1496.27,1469.939,243.554,0.891888452
864,12288,4096,1451.5285,1433.968,673.613,0.973930877
1024,1280,8192,466.719,453.449,144.542,0.908192774
1024,1536,6144,373.737,352.657,142.862,0.852445017
1024,3840,5120,726.104,697.133,297.635,0.902662657
1024,6656,4480,1053.631,1015.29,477.459,0.919697817
1024,6656,4992,1182.533,1149.2225,479.099,0.930472616
1024,7808,12288,3547.3805,3571.581,520.43,1.04650097
1024,11008,4096,1522.48,1480.719,705.314,0.94079091
1024,12288,1536,869.907,638.192,775.095,0.851436558
1024,12288,3904,1770.315,1670.803,1289.625,0.922836483
1024,12288,4608,1866.107,1843.566,771.445,0.970780807
1024,16384,1024,1091.251,583.711,1005.02,0.852271072
1216,23296,9472,11308.6755,10774.705,2096.2015,0.745267571
1280,128,16,85.981,26.62,81.491,0.831329827
1280,2048,1280,228.754,140.032,205.884,0.836680187
1280,2048,5120,488.519,468.789,208.004,0.905146055
1344,17152,7168,6632.712,6179.153,2019.15,0.77537132
1354,6144,1408,612.922,439.318,534.58,0.821673594
1536,6912,4096,1444.068,1423.398,694.363,0.970231709
1536,8192,1536,870.717,637.502,799.4755,0.888248978
1664,9984,10752,6681.843,6488.789,2457.439,0.92144098
1664,15616,8192,7929.538,7628.632,1924.588,0.843651732
1792,9984,10752,7080.211,6860.5665,3855.537,0.943031412
1920,2816,13056,2611.402,2579.801,388.057,0.918566087
1984,12544,6656,6292.045,5978.809,2468.009,0.8730815
2036,5120,1696,823.456,747.304,676.053,0.887357944
2048,1,16,126.342,28.41,126.882,1.019007392
2048,1024,8192,671.423,657.273,244.504,0.942127736
2048,1376,4096,476.829,452.959,239.344,0.900269069
2048,1708,5120,745.374,737.284,299.326,0.972972612
2048,4096,27392,7841.82,7575.601,647.0725,0.588579332
2048,5120,5120,1804.82,1779.835,655.613,0.961890628
2048,5504,8192,3097.29,3039.49,687.873,0.915972861
2048,6656,6656,3118.23,3082.391,818.866,0.956233376
2048,6912,4096,1929.2,1902.978,913.338,0.971289928
2048,8192,1024,1059.25,578.581,992.279,0.884249569
2048,12544,6656,6435,5996.4795,3010.21,0.85432229
2048,27392,4096,9767.02,8668.5025,5494.839,0.80008195
2240,2048,6656,1095.12,1075.811,310.176,0.937748246
2816,677,256,222.78,54.311,218.654,0.924030123
2955,4096,4096,1704.32,1705.804,741.614,1.002001041
2955,4096,12288,5066.69,5053.9305,1408.968,0.990944081
2955,4096,16384,6920.1,6854.3965,940.888,0.930168628
2955,12288,4096,5230.6,5040.73,2078.031,0.908629852
2955,16384,4096,7295.41,7066.471,2830.166,0.919107572
3072,17920,6656,14644.832,13952.188,9209.4935,0.924790218
3584,128,16,155.163,30.56,152.403,0.909685864
3840,512,6144,584.971,572.151,182.223,0.929646642
4096,128,128,171.273,32.09,166.313,0.845434715
4096,1024,1024,324.696,183.173,284.315,0.779547204
4096,2560,5120,1856.147,1821.706,1071.711,0.967863538
4096,3424,8192,3941.808,3911.358,1473.859,0.97933995
4096,4096,16,998.909,162.863,987.999,0.933011181
4096,4096,8192,4499.399,4469.2685,1002.84,0.969954828
4096,5120,640,1263.875,543.9,1225.924,0.930224306
4096,5120,2560,1785.78,1739.664,1294.495,0.964375297
4096,5504,8192,6170.38,6140.242,1406.078,0.978565912
4096,8192,1024,2009.1,1111.272,1941.138,0.938843056
4096,8192,1280,2033.3,1377.727,1944.718,0.935704243
4096,8192,2752,3582.24,3521.1795,2590.801,0.976431806
4096,8192,3072,3530.73,3437.428,2299.535,0.95942571
4096,8192,4096,4475.2,4438.718,1948.7685,0.981279459
16384,128,128,542.23,55.561,536.08,0.889310848
16384,128,1024,587.45,263.375,565.011,0.914802088
16384,1024,128,1003.37,122.552,994.959,0.931367909
16384,8192,3072,14055.45,14072.6905,8999.279,1.001915765
24000,50,3840,1238.14,1248.7645,841.076,1.012632033
24640,77,2560,982.83,892.387,842.966,0.892708603
65536,128,128,2039.92,159.833,2019.17,0.870176997
