m,k,n,总时间(us),matmul,allgather,掩盖度
1021,2048,4096,303.014,262.055,146.5875,0.720583269
1021,2560,4096,361.3225,318.9435,171.5065,0.752901494
1021,3584,4096,474.2805,428.301,220.4055,0.791386785
1021,4096,10240,1227.3355,1172.4965,244.345,0.775567333
1021,8192,4096,984.36,925.4215,446.651,0.868043506
2042,2048,4096,534.4495,492.9605,244.765,0.830494556
2042,2560,4096,652.357,608.338,293.784,0.850165428
2042,3584,4096,877.2125,831.5835,398.382,0.885464203
2042,4096,10240,2462.931,2373.773,446.991,0.800537371
2042,8192,4096,1932.6315,1838.5635,846.9535,0.88893369
4084,2048,4096,1027.719,986.36,447.591,0.907596444
4084,2560,4096,1265.8345,1227.47,547.939,0.929983995
4084,3584,4096,1726.8755,1694.21,747.425,0.956295949
4084,4096,10240,4834.303,4745.33,845.073,0.894715604
4084,8192,4096,3845.603,3703.06,1652.227,0.913726746
128,1280,10240,115.648,82.938,61.6285,0.46923907
128,1408,11264,120.7475,89.9485,61.629,0.500251505
128,3584,1024,100.198,47.389,70.4585,0.372438752
128,5120,640,99.538,42.819,82.6585,0.605794157
128,8192,4096,213.2955,150.757,97.608,0.359289198
128,8192,8192,313.7735,256.3445,98.458,0.416715757
128,10240,3840,255.785,159.307,122.5575,0.212793995
128,11264,1664,209.806,110.6875,123.6775,0.221876906
128,13664,5120,353.933,271.2845,136.2075,0.393216233
128,32768,1024,437.621,209.4955,245.6355,0.083581748
160,4096,8192,276.9845,246.375,81.1485,0.622796478
256,640,640,74.0585,34.759,65.2985,0.747978941
256,1024,8192,123.6775,93.928,63.119,0.528675993
256,1280,10240,168.0965,138.647,70.7785,0.583920258
256,1792,14336,255.645,229.1555,77.2285,0.656998388
256,2048,8192,177.8165,148.537,67.508,0.566281033
256,2752,8192,230.8855,201.956,90.358,0.679834658
256,8192,8192,517.96,478.58,147.727,0.7334272
256,10240,1280,239.755,129.3275,178.5865,0.527026348
256,10240,3840,370.9225,291.054,185.836,0.570220517
256,14336,5376,712.47,523.5795,249.655,0.243393884
320,2816,41216,1571.96,1330.343,244.805,0.01302261
320,28672,256,565.08,95.168,498.38,0.299134163
428,8192,3424,486.41,418.6415,226.1555,0.700345559
448,768,1280,91.82,44.649,76.0085,0.645871128
448,1024,1024,94.85,44.04,71.3585,0.466587193
448,4096,1024,182.36,86.87,135.887,0.465028203
448,4096,8192,503.22,463.4,135.3775,0.705859541
448,45056,4608,5090.12,4787.27,1018.33,0.702601318
512,1024,8192,189.71,153.9,74.5185,0.519448191
512,1792,14336,454.561,421.9215,103.338,0.684148135
512,3072,4096,241.4855,202.0155,123.4475,0.68026894
512,3584,1024,176.146,82.098,135.6575,0.506827207
512,4096,1024,190.9165,89.998,148.397,0.527550612
512,5120,640,210.6455,79.0485,175.1665,0.551174279
512,8192,7168,852.83,810.03,245.74,0.82583218
512,11008,4096,689.38,648.18,322.96,0.872430022
512,14336,1792,559,383.21,410.53,0.612562303
