Op,M,K,N,Transpose A,Transpose B,TotalTime(us),MatmulTime(us),AllGatherTime(us),ÑÚ¸Ç¶È
AllGatherMatmulDequant,1794,3072,1536,0,0,420.8835417,312.9395417,356.5572083,0.794444853
AllGatherMatmulDequant,1021,2048,4096,0,0,358.5323333,308.2542083,190.31975,0.735822872
AllGatherMatmulDequant,1021,2560,4096,0,0,435.506125,372.5457083,230.8747083,0.727296172
AllGatherMatmulDequant,1021,3584,4096,0,0,587.3176667,505.9177917,229.574625,0.645431741
AllGatherMatmulDequant,1021,4096,10240,0,1,1517.001,1448.18225,282.3495417,0.756263993
AllGatherMatmulDequant,1021,8192,4096,0,1,1270.461125,1104.501833,480.7113333,0.654763097
AllGatherMatmulDequant,2042,2048,4096,0,0,663.1897917,607.511375,373.154875,0.850790059
AllGatherMatmulDequant,2042,2560,4096,0,0,806.4334167,736.084875,453.9730417,0.845038063
AllGatherMatmulDequant,2042,3584,4096,0,0,1107.88325,1003.632625,613.4492083,0.830058261
AllGatherMatmulDequant,2042,4096,10240,0,1,3074.849542,3027.595167,505.2020417,0.906464402
AllGatherMatmulDequant,2042,8192,4096,0,1,2485.241125,2222.100042,953.5365417,0.724036708
AllGatherMatmulDequant,4084,2048,4096,0,0,1301.697875,1235.6905,741.320375,0.910959718
AllGatherMatmulDequant,4084,2560,4096,0,0,1591.117958,1517.258917,1062.057083,0.930456618
AllGatherMatmulDequant,4084,3584,4096,0,0,2183.1245,2083.985083,1485.380708,0.933256561
AllGatherMatmulDequant,4084,4096,10240,0,1,6146.47875,6084.330583,1101.113583,0.943558805
AllGatherMatmulDequant,4084,8192,4096,0,1,4905.090167,4548.182917,3179.835042,0.887759193
AllGatherMatmulDequant,128,1280,10240,0,1,86.25433333,68.739875,24.126375,0.274053465
AllGatherMatmulDequant,128,1408,11264,0,1,103.0995833,83.56733333,25.63816667,0.238157306
AllGatherMatmulDequant,128,3584,1024,0,1,60.681,27.180625,40.59579167,0.261046855
AllGatherMatmulDequant,128,5120,640,0,1,80.584,35.29283333,51.16054167,0.16630501
AllGatherMatmulDequant,128,8192,4096,0,1,219.746625,154.6343333,71.39420833,0.087989163
AllGatherMatmulDequant,128,8192,8192,0,1,348.3643333,281.2442917,71.11,0.056109667
AllGatherMatmulDequant,128,10240,3840,0,1,246.844875,167.3242083,85.561875,0.07060631
AllGatherMatmulDequant,128,11264,1664,0,1,222.6025417,136.5824167,92.10891667,0.066104259
AllGatherMatmulDequant,128,13664,5120,0,1,396.0003333,289.84825,110.5947917,0.040171045
AllGatherMatmulDequant,128,32768,1024,0,1,437.5345833,200.46775,239.3510833,0.011394601
AllGatherMatmulDequant,160,4096,8192,0,1,302.6432083,263.43075,59.97283333,0.346162985
AllGatherMatmulDequant,256,640,640,0,1,31.284375,13.64416667,24.57904167,0.508556771
AllGatherMatmulDequant,256,1024,8192,0,1,107.7030417,90.01954167,35.90216667,0.507453124
AllGatherMatmulDequant,256,1280,10240,0,1,150.918375,130.9954167,40.62658333,0.509607831
AllGatherMatmulDequant,256,1792,14336,0,1,269.1985833,243.808875,48.71379167,0.478798356
AllGatherMatmulDequant,256,2048,8192,0,1,182.960125,158.3152917,51.235625,0.518990287
AllGatherMatmulDequant,256,2752,8192,0,1,241.5886667,206.3382083,64.13220833,0.450347036
AllGatherMatmulDequant,256,8192,8192,0,1,626.2459583,553.607125,133.1355,0.454399215
AllGatherMatmulDequant,256,10240,1280,0,1,217.63475,114.1535,161.2704583,0.50624123
AllGatherMatmulDequant,256,10240,3840,0,1,410.6179583,325.9094583,161.3288333,0.474932668
AllGatherMatmulDequant,256,14336,5376,0,1,760.77225,647.5438333,217.6432083,0.479752125
AllGatherMatmulDequant,320,2816,41216,0,1,1622.905625,1563.728167,85.51345833,0.307974918
AllGatherMatmulDequant,320,28672,256,0,1,570.1125833,130.6261667,512.1439167,0.556224698
AllGatherMatmulDequant,428,8192,3424,0,1,1005.99625,876.2048333,210.461875,0.383302003
AllGatherMatmulDequant,448,768,1280,0,1,53.117375,39.80475,40.236625,0.676401686
AllGatherMatmulDequant,448,1024,1024,0,1,58.60516667,31.51266667,46.13441667,0.604262307
AllGatherMatmulDequant,448,4096,1024,0,1,156.941875,93.539,131.7820833,0.731023512
AllGatherMatmulDequant,448,4096,8192,0,1,594.8032083,552.1754583,131.1087083,0.674867135
AllGatherMatmulDequant,448,45056,4608,0,1,5121.1705,4341.818833,1100.702667,0.291950778
AllGatherMatmulDequant,512,1024,8192,0,1,191.6615,173.0904167,71.67354167,0.740893461
AllGatherMatmulDequant,512,1792,14336,0,1,507.4687083,477.9346667,84.79495833,0.6517005
AllGatherMatmulDequant,512,3072,4096,0,1,274.8165,238.741,121.95725,0.704195528
AllGatherMatmulDequant,512,3584,1024,0,1,154.4859583,86.23254167,132.508875,0.74514165
AllGatherMatmulDequant,512,4096,1024,0,1,171.3469583,96.44908333,145.843,0.735570755
AllGatherMatmulDequant,512,5120,640,0,1,197.7535,77.15054167,160.923875,0.522626488
AllGatherMatmulDequant,512,8192,7168,0,1,1095.424958,1005.330542,257.842875,0.650584039
AllGatherMatmulDequant,512,11008,4096,0,1,889.893375,789.6899167,339.680375,0.705006631
AllGatherMatmulDequant,512,14336,1792,0,1,568.6666667,441.0564167,433.9251667,0.705916458
AllGatherMatmulDequant,512,15360,5120,0,1,1442.299083,1291.468375,453.6347083,0.667506244
AllGatherMatmulDequant,512,16384,13696,0,1,5690.253708,5448.118542,469.6265,0.484409066
AllGatherMatmulDequant,512,17152,13056,0,1,4550.373875,4278.9325,490.3459167,0.446428805
AllGatherMatmulDequant,640,2048,10240,0,1,502.569375,470.4639583,136.6948333,0.765130723
AllGatherMatmulDequant,640,3840,18432,0,1,1702.244542,1659.632208,171.1587083,0.751036132
AllGatherMatmulDequant,640,8192,1280,0,1,367.27375,220.6850833,320.4124167,0.787655184
AllGatherMatmulDequant,640,8192,5120,0,1,943.4842083,859.46325,323.6985417,0.740434548
AllGatherMatmulDequant,640,16384,1696,0,1,1685.01425,1394.758417,588.2353333,0.506565117
AllGatherMatmulDequant,640,32256,7936,0,1,6891.792792,6383.281792,1131.9445,0.55076331
AllGatherMatmulDequant,672,2048,14336,0,1,813.8805,776.5982917,120.9581667,0.691776014
AllGatherMatmulDequant,683,6144,8192,0,1,1279.492708,1211.734125,284.0395833,0.761446689
AllGatherMatmulDequant,768,3840,18432,0,1,2034.672792,2004.247458,203.4438333,0.850448482
AllGatherMatmulDequant,768,6144,8192,0,1,1318.265042,1244.177042,305.4865417,0.757475404
AllGatherMatmulDequant,768,16384,1696,0,1,1765.363083,1456.510417,700.483625,0.55908653
AllGatherMatmulDequant,832,2048,17920,0,1,1257.127917,1209.404125,124.8949583,0.617888563
AllGatherMatmulDequant,864,4096,12288,0,1,1614.686,1529.666625,223.013375,0.618770063
AllGatherMatmulDequant,864,12288,4096,0,1,1654.225792,1513.699958,637.2824167,0.779492058
AllGatherMatmulDequant,1024,1280,8192,0,1,428.857375,405.275125,150.3515,0.843152546
AllGatherMatmulDequant,1024,1536,6144,0,1,389.26925,361.565875,174.5604167,0.841296352
AllGatherMatmulDequant,1024,3840,5120,0,1,721.8174583,670.9169167,272.1696667,0.812982313
AllGatherMatmulDequant,1024,6656,4480,0,1,1321.067583,1177.683083,398.7764583,0.640438905
AllGatherMatmulDequant,1024,6656,4992,0,1,1486.152542,1349.130917,398.5730833,0.656219572
AllGatherMatmulDequant,1024,7808,12288,0,1,3643.431833,3509.745208,509.0504583,0.737380405
AllGatherMatmulDequant,1024,11008,4096,0,1,1689.795583,1482.670917,636.7730833,0.674727668
AllGatherMatmulDequant,1024,12288,1536,0,1,874.9408333,629.290875,707.3108333,0.7336208
AllGatherMatmulDequant,1024,12288,3904,0,1,3059.81425,2826.078,707.0673333,0.669428583
AllGatherMatmulDequant,1024,12288,4608,0,1,2139.61225,1970.771125,741.0210417,0.772150701
AllGatherMatmulDequant,1024,16384,1024,0,1,1048.802042,684.0783333,955.0122917,0.862896183
AllGatherMatmulDequant,1216,23296,9472,0,1,10791.095,10307.61354,1555.137458,0.689106929
AllGatherMatmulDequant,1280,128,16,0,1,84.710125,53.73066667,33.93966667,0.087219723
AllGatherMatmulDequant,1280,2048,1280,0,1,207.266625,125.3734583,179.119875,0.775496741
AllGatherMatmulDequant,1280,2048,5120,0,1,508.7523333,472.168375,260.3280417,0.859469775
AllGatherMatmulDequant,1344,17152,7168,0,1,6561.378167,6242.51275,1344.486625,0.762834817
AllGatherMatmulDequant,1354,6144,1408,0,1,707.726625,562.6772083,491.029375,0.704601345
AllGatherMatmulDequant,1536,6912,4096,0,1,1577.329708,1405.506583,614.1810417,0.720240266
AllGatherMatmulDequant,1536,8192,1536,0,1,841.4387917,632.1634167,719.500625,0.807109739
AllGatherMatmulDequant,1664,9984,10752,0,1,6450.503625,6355.229875,989.6259167,0.903727511
AllGatherMatmulDequant,1664,15616,8192,0,1,7914.417167,7409.454375,1480.927125,0.659022525
AllGatherMatmulDequant,1792,9984,10752,0,1,6981.768708,6877.144583,1053.100667,0.900651354
AllGatherMatmulDequant,1920,2816,13056,0,1,2616.77175,2555.230708,348.2284167,0.823273923
AllGatherMatmulDequant,1984,12544,6656,0,1,6178.230708,5917.626042,1389.331792,0.812424456
AllGatherMatmulDequant,2036,5120,1696,0,1,1397.527667,1254.409417,860.0165,0.833586623
AllGatherMatmulDequant,2048,1,16,0,1,35.40716667,8.668083333,32.83791667,0.703596527
AllGatherMatmulDequant,2048,1024,8192,0,1,712.70775,684.631125,296.1244167,0.90518639
AllGatherMatmulDequant,2048,1376,4096,0,1,497.13325,438.6645,290.1297917,0.798473815
AllGatherMatmulDequant,2048,1708,5120,0,1,774.3696667,671.035125,352.0219167,0.706454238
AllGatherMatmulDequant,2048,4096,27392,0,1,8505.939458,8310.040583,482.5639167,0.594045746
AllGatherMatmulDequant,2048,5120,5120,0,1,1941.504875,1787.032,676.889,0.771789946
AllGatherMatmulDequant,2048,5504,8192,0,1,3202.422958,3144.368875,742.6287917,0.921826243
AllGatherMatmulDequant,2048,6656,6656,0,1,3347.176917,3139.365375,1098.018458,0.810739482
AllGatherMatmulDequant,2048,6912,4096,0,1,2080.453125,1897.92725,1180.00825,0.845318137
AllGatherMatmulDequant,2048,8192,1024,0,1,1045.539417,677.5933333,953.508125,0.864179165
AllGatherMatmulDequant,2048,12544,6656,0,1,6310.806333,6031.553875,1431.810125,0.80496544
AllGatherMatmulDequant,2048,27392,4096,0,1,9732.147792,8715.157417,3058.618583,0.667500099
AllGatherMatmulDequant,2240,2048,6656,0,1,1237.018333,1151.040292,406.98775,0.788745384
AllGatherMatmulDequant,2816,677,256,0,1,188.9597083,29.08170833,176.735625,0.579664194
AllGatherMatmulDequant,2955,4096,4096,0,1,1866.541875,1721.829625,1016.6035,0.857651238
AllGatherMatmulDequant,2955,4096,12288,0,1,5493.23875,5475.336417,734.0283333,0.975610842
AllGatherMatmulDequant,2955,4096,16384,0,1,7329.75625,7271.518917,809.8077917,0.928084993
AllGatherMatmulDequant,2955,12288,4096,0,1,5593.877833,5177.445083,2896.936417,0.856250642
AllGatherMatmulDequant,2955,16384,4096,0,1,7570.942708,7141.238167,3859.379875,0.888659693
AllGatherMatmulDequant,3072,17920,6656,0,1,14212.13242,13143.37433,2991.246125,0.642704731
AllGatherMatmulDequant,3584,128,16,0,1,189.342125,124.800125,55.60916667,-0.160635986
AllGatherMatmulDequant,3840,512,6144,0,1,626.295,602.7380417,458.4400833,0.948614968
AllGatherMatmulDequant,4096,128,128,0,1,61.58354167,13.15325,58.41341667,0.758985422
AllGatherMatmulDequant,4096,1024,1024,0,1,322.4067083,187.188,282.4519167,0.786552602
AllGatherMatmulDequant,4096,2560,5120,0,1,2016.02675,1936.593917,1160.542125,0.931555407
AllGatherMatmulDequant,4096,3424,8192,0,1,4168.902667,4090.404208,2551.945708,0.969239761
AllGatherMatmulDequant,4096,4096,16,0,1,2144.667458,1041.84475,958.1950833,-0.150937557
AllGatherMatmulDequant,4096,4096,8192,0,1,4930.944125,4631.939625,4055.826625,0.926277791
AllGatherMatmulDequant,4096,5120,640,0,1,1254.384458,539.4058333,1178.937542,0.860129588
AllGatherMatmulDequant,4096,5120,2560,0,1,1912.227208,1732.437292,1357.904792,0.867597554
AllGatherMatmulDequant,4096,5504,8192,0,1,6439.237125,6334.829292,4251.813458,0.975443929
AllGatherMatmulDequant,4096,8192,1024,0,1,1995.285667,1346.699208,1897.368917,0.927291299
AllGatherMatmulDequant,4096,8192,1280,0,1,1995.682417,1348.552833,1897.881458,0.927477102
AllGatherMatmulDequant,4096,8192,2752,0,1,5830.845917,5542.662625,2645.222958,0.891055198
AllGatherMatmulDequant,4096,8192,3072,0,1,3778.1,3530.631042,2708.792417,0.908642332
AllGatherMatmulDequant,4096,8192,4096,0,1,4832.263958,4494.878292,3169.197542,0.893542242
AllGatherMatmulDequant,16384,128,128,0,1,197.5527917,31.07691667,189.3179167,0.735016344
AllGatherMatmulDequant,16384,128,1024,0,1,304.0290417,258.9864167,242.4219167,0.814197389
AllGatherMatmulDequant,16384,1024,128,0,1,1117.027917,100.54525,1106.596458,0.896251101
AllGatherMatmulDequant,16384,8192,3072,0,1,14918.92667,14635.75775,10494.55046,0.973017527
AllGatherMatmulDequant,24000,50,3840,0,1,1312.326333,1331.885917,767.3993333,1.025488143
AllGatherMatmulDequant,24640,77,2560,0,1,963.7144583,1005.098708,487.7308333,1.084850592
AllGatherMatmulDequant,65536,128,128,0,1,747.5114583,104.368875,726.2310833,0.796104203
