Op	M	K	N	Transpose A	Transpose B	TotalTime(us)	MatmulTime(us)	AllGatherTime(us)	ÑÚ¸Ç¶È
AllGatherMatmulDequant	1794	3072	1536	0	0	436.7657083	255.4029583	387.19575	0.805914706
AllGatherMatmulDequant	1021	2048	4096	0	0	326.7509583	263.7020833	218.400375	0.711315171
AllGatherMatmulDequant	1021	2560	4096	0	0	380.870125	320.7535833	188.8166667	0.68161422
AllGatherMatmulDequant	1021	3584	4096	0	0	512.4710833	432.78325	244.83325	0.674522013
AllGatherMatmulDequant	1021	4096	10240	0	1	1361.897875	1236.3675	412.556125	0.695725339
AllGatherMatmulDequant	1021	8192	4096	0	1	1155.035625	952.9307917	670.1650833	0.698425301
AllGatherMatmulDequant	2042	2048	4096	0	0	586.8072083	518.9565833	424.2417917	0.840066145
AllGatherMatmulDequant	2042	2560	4096	0	0	705.8685	633.0305417	366.12275	0.801055907
AllGatherMatmulDequant	2042	3584	4096	0	0	957.077375	862.3890417	479.179125	0.802394703
AllGatherMatmulDequant	2042	4096	10240	0	1	2688.627333	2552.947958	831.1430417	0.836755687
AllGatherMatmulDequant	2042	8192	4096	0	1	2175.462792	1943.559417	1337.105708	0.82656317
AllGatherMatmulDequant	4084	2048	4096	0	0	1139.335083	1061.298208	931.9395417	0.916264016
AllGatherMatmulDequant	4084	2560	4096	0	0	1382.922375	1309.213833	834.5645417	0.911680238
AllGatherMatmulDequant	4084	3584	4096	0	0	1902.245083	1796.998583	1274.50025	0.917421358
AllGatherMatmulDequant	4084	4096	10240	0	1	5251.522333	5209.18225	1663.28925	0.974544365
AllGatherMatmulDequant	4084	8192	4096	0	1	4255.711333	4003.473583	3189.748375	0.920922367
AllGatherMatmulDequant	128	1280	10240	0	1	82.34104167	61.638125	29.142875	0.289606236
AllGatherMatmulDequant	128	1408	11264	0	1	96.15408333	73.33954167	29.582	0.228769466
AllGatherMatmulDequant	128	3584	1024	0	1	65.41383333	28.017	46.15175	0.312485872
AllGatherMatmulDequant	128	5120	640	0	1	85.48258333	32.45116667	61.861375	0.272099873
AllGatherMatmulDequant	128	8192	4096	0	1	230.13925	136.8976667	102.3440417	0.088939797
AllGatherMatmulDequant	128	8192	8192	0	1	341.27075	246.4472917	106.8865	0.112858421
AllGatherMatmulDequant	128	10240	3840	0	1	261.2672083	150.559875	116.5421667	0.050066285
AllGatherMatmulDequant	128	11264	1664	0	1	234.4634167	136.9509583	107.47475	0.092694253
AllGatherMatmulDequant	128	13664	5120	0	1	379.4525417	258.25725	120.627125	-0.004710107
AllGatherMatmulDequant	128	32768	1024	0	1	523.065125	206.883125	310.624625	-0.026862389
AllGatherMatmulDequant	160	4096	8192	0	1	287.97325	226.8485417	97.99745833	0.37626231
